import time: self [us] | cumulative | imported package
import time:      4096 |       4096 |                   dbt.adapters.record.cursor.rowcount
import time:      2891 |      25531 |                 dbt.adapters.record.cursor.cursor
import time:      1427 |      26958 |               dbt.adapters.record.handle
import time:      1004 |      27961 |             dbt.adapters.record
import time:      1912 |       1912 |             dbt.adapters.record.serialization
import time:     13210 |      43082 |           dbt.adapters.record.base
import time:      2080 |       2080 |           dbt_common.behavior_flags
import time:      8214 |       8214 |           dbt_common.contracts.constraints
import time:      2277 |       2277 |             dbt_common.utils.formatting
import time:     19589 |      21865 |           dbt_common.contracts.metadata
import time:      1689 |       1689 |                 dbt_common.contracts.config
import time:      2533 |       4221 |               dbt_common.contracts.config.materialization
import time:      8806 |      13027 |             dbt.adapters.contracts.relation
import time:      1906 |       1906 |               dbt.adapters.relation_configs.config_base
import time:      1752 |       1752 |               dbt.adapters.relation_configs.config_change
import time:      2054 |       2054 |               dbt.adapters.relation_configs.config_validation
import time:      1490 |       7201 |             dbt.adapters.relation_configs
import time:     10171 |      30397 |           dbt.adapters.base.relation
import time:      1118 |       1118 |             dbt.adapters.reference_keys
import time:      1470 |       2588 |           dbt.adapters.cache
import time:      3377 |       3377 |           dbt.adapters.capability
import time:      1962 |       1962 |               dbt.adapters.catalogs._exceptions
import time:      1523 |       1523 |               dbt.adapters.catalogs._integration
import time:      2160 |       5643 |             dbt.adapters.catalogs._client
import time:      1587 |       1587 |             dbt.adapters.catalogs._constants
import time:      2909 |      10138 |           dbt.adapters.catalogs
import time:      2041 |       2041 |           dbt.adapters.contracts.macros
import time:      3067 |       3067 |               dbt_common.contracts.config.metadata
import time:      6522 |       6522 |               dbt_common.contracts.config.properties
import time:      4951 |      14539 |             dbt_common.contracts.config.base
import time:      4818 |      19357 |           dbt.adapters.protocol
import time:     69505 |     218973 |         dbt.adapters.base.impl
import time:      2090 |       2090 |         dbt.adapters.base.plugin
import time:      1626 |     841796 |       dbt.adapters.base
import time:      1165 |       1165 |                       dbt.artifacts
import time:      1858 |       1858 |                         dbt.artifacts.resources.types
import time:      8368 |      10226 |                       dbt.artifacts.resources.base
import time:       440 |        440 |                         dbt.artifacts.resources.v1
import time:      2674 |       2674 |                             dbt.hooks
import time:       880 |        880 |                               dbt.artifacts.utils
import time:      2820 |       3700 |                             dbt.artifacts.utils.validation
import time:     11852 |      18226 |                           dbt.artifacts.resources.v1.config
import time:      2372 |       2372 |                             dbt_semantic_interfaces
import time:      2059 |       2059 |                               dbt_semantic_interfaces.enum_extension
import time:      2129 |       4187 |                             dbt_semantic_interfaces.type_enums.aggregation_type
import time:      2725 |       2725 |                             dbt_semantic_interfaces.type_enums.conversion_calculation_type
import time:      2668 |       2668 |                               dbt_semantic_interfaces.type_enums.time_granularity
import time:      2502 |       5169 |                             dbt_semantic_interfaces.type_enums.date_part
import time:      2209 |       2209 |                             dbt_semantic_interfaces.type_enums.dimension_type
import time:      2584 |       2584 |                             dbt_semantic_interfaces.type_enums.entity_type
import time:      2609 |       2609 |                             dbt_semantic_interfaces.type_enums.metric_type
import time:      2329 |       2329 |                             dbt_semantic_interfaces.type_enums.period_agg
import time:      2088 |       2088 |                             dbt_semantic_interfaces.type_enums.semantic_manifest_node_type
import time:      2428 |      28698 |                           dbt_semantic_interfaces.type_enums
import time:     31669 |      78592 |                         dbt.artifacts.resources.v1.components
import time:      4117 |      83148 |                       dbt.artifacts.resources.v1.analysis
import time:      6102 |       6102 |                       dbt.artifacts.resources.v1.catalog
import time:      5314 |       5314 |                       dbt.artifacts.resources.v1.documentation
import time:      4507 |       4507 |                         dbt.artifacts.resources.v1.owner
import time:      6014 |      10521 |                       dbt.artifacts.resources.v1.exposure
import time:     12435 |      12435 |                       dbt.artifacts.resources.v1.function
import time:      5583 |       5583 |                       dbt.artifacts.resources.v1.generic_test
import time:      4643 |       4643 |                       dbt.artifacts.resources.v1.group
import time:      5446 |       5446 |                       dbt.artifacts.resources.v1.hook
import time:      6876 |       6876 |                       dbt.artifacts.resources.v1.macro
import time:       890 |        890 |                                     dbt_semantic_interfaces.implementations
import time:       844 |        844 |                                         dbt_semantic_interfaces.parsing
import time:      1032 |       1032 |                                           yaml.error
import time:      1100 |       1100 |                                           yaml.tokens
import time:      1032 |       1032 |                                           yaml.events
import time:       951 |        951 |                                           yaml.nodes
import time:      5072 |       5072 |                                             yaml.reader
import time:      1136 |       1136 |                                             yaml.scanner
import time:      1613 |       1613 |                                             yaml.parser
import time:      2507 |       2507 |                                             yaml.composer
import time:      4347 |       4347 |                                             yaml.constructor
import time:      2342 |       2342 |                                             yaml.resolver
import time:      1103 |      18117 |                                           yaml.loader
import time:      1066 |       1066 |                                             yaml.emitter
import time:       875 |        875 |                                             yaml.serializer
import time:      1020 |       1020 |                                             yaml.representer
import time:       966 |       3925 |                                           yaml.dumper
import time:      1298 |       1298 |                                             yaml._yaml
import time:      1020 |       2318 |                                           yaml.cyaml
import time:      1544 |      30015 |                                         yaml
import time:      1110 |      31968 |                                       dbt_semantic_interfaces.parsing.yaml_loader
import time:       954 |      32921 |                                     dbt_semantic_interfaces.errors
import time:      2139 |       2139 |                                                   pydantic_core._pydantic_core
import time:      3462 |       3462 |                                                             _ssl
import time:      4108 |       7570 |                                                           ssl
import time:      1459 |       1459 |                                                           asyncio.constants
import time:      1244 |       1244 |                                                           asyncio.coroutines
import time:      1250 |       1250 |                                                             asyncio.format_helpers
import time:      1623 |       1623 |                                                               asyncio.base_futures
import time:      1307 |       1307 |                                                               asyncio.exceptions
import time:      2968 |       2968 |                                                               asyncio.base_tasks
import time:      1764 |       7660 |                                                             _asyncio
import time:      1772 |      10682 |                                                           asyncio.events
import time:      1371 |       1371 |                                                           asyncio.futures
import time:      1019 |       1019 |                                                           asyncio.protocols
import time:      1681 |       1681 |                                                             asyncio.transports
import time:      1749 |       1749 |                                                             asyncio.log
import time:      1870 |       5299 |                                                           asyncio.sslproto
